event_id,customer_id,event_time,event_type,platform,session_id,duration_ms,ingest_date
eb44o50ei,c00010,bad-ts,error,,stjcxmh77,82820,2025-12-12
e2ezssm4s,c00170,2025-12-12 19:35:43,,iPhone,srd1nn74g,178123,2025-12-12
ecf0fy3as,c00025,bad-ts,feature_use,browser,s9m4hurjg,165197,2025-12-12
e87j7gyne,c00153,2025-12-12 17:20:18,,browser,sec94zd9v,145897,2025-12-12
e0d5nu23y,c00162,2025-12-12T06:16:15-05:00,FEATURE_USE,ios,snnxrsimj,9022,2025-12-12
eeb26zcif,c00018,2025-12-12 22:44:46,,android,stdjkuk8j,84973,2025-12-12
e631kb86a,c00104,2025-12-12T07:18:56-05:00,error,web,,178985,2025-12-12
exlc78yqo,c00015,2025-12-12T14:16:13-05:00,FEATURE_USE,,,70204,2025-12-12
edv22hgxj,c00090,2025-12-12 22:57:37,,,skltwdss2,56896,2025-12-12
e9zvdmsec,c00156,2025-12-12 09:41:17,FEATURE_USE,,,120170,2025-12-12
e7fl8wkuq,c00194,bad-ts,error,iPhone,,89533,2025-12-12
eq92dxcee,c00130,2025-12-12T02:31:24-05:00,,,s7a4s8jr7,238483,2025-12-12
emhhnfe0p,unknown_c00112,2025-12-12T05:29:54-05:00,login,,sbjgqm80p,56150,2025-12-12
eemxf1y5e,c00059,2025-12-12T17:17:31-05:00,feature_use,android,s6v0c8noj,114085,2025-12-12
eh0am20op,c00194,2025-12-12 16:54:14,paywall_view,ios,shi2tsv3r,298451,2025-12-12
e6ooynp7e,c00012,2025-12-12 19:08:32,paywall_view,android,ss8ob6pc3,43823,2025-12-12
eu78utawx,c00162,2025-12-12T00:50:59-05:00,feature_use,android,,24121,2025-12-12
e7tlu7qdp,c00144,2025-12-12T12:59:39-05:00,,browser,sqwb4vv6x,257842,2025-12-12
em0zgl7zm,c00054,2025-12-12 07:29:33,Logout,iPhone,,31402,2025-12-12
edeil7e6r,c00130,bad-ts,paywall_view,AND,s76w6d2cg,128487,2025-12-12
en1elphon,c00103,2025-12-11T23:13:04-05:00,,,sg6cb101k,76182,2025-12-12
e2nvc3t8l,c00023,2025-12-12 04:10:28,,AND,s80x0i6ru,210269,2025-12-12
ecr6dvaxo,c00026,2025-12-12T16:22:03-05:00,error,,su8zn22r0,388217,2025-12-12
ej0jgnfv2,c00165,bad-ts,FEATURE_USE,,s8glcejli,209923,2025-12-12
ei16gf9oa,c00136,2025-12-12 05:16:53,,,sylmu13w4,199346,2025-12-12
esqnkxwcn,c00180,2025-12-12 04:15:33,error,AND,sidihejih,6857,2025-12-12
e1uwsx1ap,c00024,bad-ts,Logout,,sp5vv1c4d,224594,2025-12-12
eyrhacupi,c00170,2025-12-12 17:57:53,feature_use,browser,s0wy30bba,254355,2025-12-12
es4tlkoj4,c00152,2025-12-12 05:08:52,FEATURE_USE,ios,s68t1jpkw,70571,2025-12-12
edbhgocrx,c00188,2025-12-12T15:46:56-05:00,feature_use,AND,spy0cr066,45390,2025-12-12
ey6ve1r4f,c00041,2025-12-12 01:28:59,,browser,,285821,2025-12-12
er2fbifek,c00020,2025-12-12 22:01:16,error,,,98132,2025-12-12
esq94dhgg,c00007,2025-12-12 11:59:28,,ios,snmfjzpz4,1697,2025-12-12
e6rfdd8rz,c00051,2025-12-12T14:30:21-05:00,feature_use,web,s50x17fqb,81606,2025-12-12
ejf0ubg4d,c00032,2025-12-12T01:38:20-05:00,error,android,srnej4ogd,52234,2025-12-12
e6f8wxf8j,c00050,2025-12-12 18:23:43,error,web,sheax9l2k,62793,2025-12-12
euc7y2qv7,c00102,2025-12-12 12:10:37,feature_use,iPhone,siwt6v4il,213020,2025-12-12
edpx2n488,c00093,2025-12-12 05:56:18,feature_use,android,sxnkgsur0,146351,2025-12-12
eqb7xwgtn,c00092,2025-12-11T19:24:02-05:00,Logout,iPhone,sxkwvcm9t,48266,2025-12-12
ewsi7lr5i,c00056,2025-12-12 11:15:20,FEATURE_USE,web,sgylfsxnp,63515,2025-12-12
ehjt6goca,c00052,2025-12-12T03:20:12-05:00,login,,s63ikyuga,37182,2025-12-12
e2mzc9try,c00029,2025-12-12 01:52:24,login,android,s4824lyin,999999999,2025-12-12
enpuh5g57,c00116,2025-12-12T07:16:11-05:00,Logout,iPhone,,12962,2025-12-12
ey65mly3o,c00034,2025-12-12 22:13:42,error,android,sbbkqygmn,6148,2025-12-12
ey8uy7kcw,c00190,2025-12-12 10:58:14,paywall_view,AND,,168331,2025-12-12
eiw5ecy78,c00101,2025-12-12 02:19:58,error,android,szh51l9yj,64216,2025-12-12
eju6xnwqt,c00162,bad-ts,login,iPhone,,41647,2025-12-12
ep29u08cr,c00052,bad-ts,error,,sp2tgyd72,36759,2025-12-12
e5rlmmfkn,c00139,2025-12-12 15:55:27,,iPhone,smnus2apu,146152,2025-12-12
eisg4f6y1,c00143,2025-12-12 03:46:05,Logout,android,swhmgjmim,15937,2025-12-12
eofjt54sx,c00042,2025-12-12 05:29:54,,browser,,235399,2025-12-12
e19f7l6it,c00109,2025-12-12 22:53:53,feature_use,AND,,28966,2025-12-12
enll5z3k5,c00036,2025-12-12 03:32:55,Logout,,s93xnmtmo,50255,2025-12-12
e89syiesk,c00198,2025-12-11T19:33:27-05:00,paywall_view,ios,stg1i2a2f,-16154,2025-12-12
ecuz6b910,c00095,2025-12-11T21:17:46-05:00,feature_use,,sttyynvwa,42446,2025-12-12
e9guuxual,c00039,2025-12-12T10:10:37-05:00,,web,sd42vgb84,4618,2025-12-12
efht4yzd5,c00072,2025-12-12 09:06:28,,iPhone,sbp5mspsz,223173,2025-12-12
e2thievjh,c00158,2025-12-12 12:20:17,FEATURE_USE,,s1twtdca6,97569,2025-12-12
edms7t3ec,c00015,2025-12-12T10:56:03-05:00,login,browser,sidn65o78,156525,2025-12-12
e4hzooh5t,c00148,2025-12-12 22:49:40,FEATURE_USE,,,244515,2025-12-12
ee0ms56ms,c00128,bad-ts,feature_use,web,s4pon0ooq,220396,2025-12-12
e6n6dmi54,c00104,2025-12-12T07:21:27-05:00,login,android,,103957,2025-12-12
e53o5pgfc,c00129,2025-12-12T01:47:37-05:00,Logout,ios,sodltt7pw,159673,2025-12-12
