order_id,customer_id,order_time,amount,currency,status,ingest_date
o9ui463e6,c00177,2025-12-16T21:57:00+00:00,38.68,USD,paid,2025-12-16
oi8x2audd,c00011,2025-12-16T02:32:00+00:00,43.24,,chargeback,2025-12-16
o3jmei161,c00144,not-a-time,90.06,???,succeeded,2025-12-16
oaaqb6mm0,c00030,2025-12-16T18:32:00+00:00,37.49,€,PAID,2025-12-16
ojmg8c1ws,c00050,2025-12-16T23:47:00+00:00,25.77,USD,succeeded,2025-12-16
ovrzcsppx,unknown_c00010,2025-12-16T06:46:00+00:00,73.03,€,chargeback,2025-12-16
om69973v3,c00132,2025-12-16T11:35:00+00:00,29.18,,paid,2025-12-16
oq27t22fr,c00182,not-a-time,32.94,USD,failed,2025-12-16
okyxjfynd,c00087,2025-12-16T02:09:00+00:00,18.74,USD,paid,2025-12-16
oosoxm1jf,c00073,not-a-time,45.14,€,paid,2025-12-16
orrg65a1a,c00041,not-a-time,39.04,EUR,refunded,2025-12-16
oslz5lzca,c00128,2025-12-16T22:57:00+00:00,91.4,,PAID,2025-12-16
oo9et6zfx,c00173,not-a-time,51.33,,PAID,2025-12-16
oeakri7cs,c00144,2025-12-16T17:44:00+00:00,69.15,USD,,2025-12-16
o05iufv9n,c00068,2025-12-16T00:53:00+00:00,53.22,usd,failed,2025-12-16
ol752wabj,c00139,2025-12-16T07:46:00+00:00,62.45,EUR,PAID,2025-12-16
ogsd1js1m,c00170,2025-12-16T07:08:00+00:00,55.66,,,2025-12-16
o2xsmibhf,c00006,2025-12-16T22:46:00+00:00,99.22,€,failed,2025-12-16
ocnp0kgzx,c00042,2025-12-16T09:48:00+00:00,41.92,,chargeback,2025-12-16
ofclofwyd,c00006,2025-12-16T11:38:00+00:00,36.0,$,,2025-12-16
owcr8k5zq,c00195,2025-12-16T09:45:00+00:00,33.41,EUR,chargeback,2025-12-16
ote2jksyk,c00134,2025-12-16T15:33:00+00:00,34.59,???,succeeded,2025-12-16
oj9n2v6ea,c00003,2025-12-16T10:56:00+00:00,47.76,USD,succeeded,2025-12-16
o21ey7ecu,c00198,2025-12-16T01:52:00+00:00,58.11,,failed,2025-12-16
o3313suak,c00133,2025-12-16T07:31:00+00:00,29.52,,chargeback,2025-12-16
ok66exlke,c00064,not-a-time,36.66,$,PAID,2025-12-16
om2c1kux8,c00199,2025-12-16T01:59:00+00:00,57.97,???,,2025-12-16
of1p97we6,c00186,2025-12-16T08:56:00+00:00,108.18,€,refunded,2025-12-16
o6urgbh68,c00104,2025-12-16T22:01:00+00:00,10.68,USD,PAID,2025-12-16
o08p4nr9q,c00184,2025-12-16T22:17:00+00:00,49.02,USD,paid,2025-12-16
oe95wdphu,c00058,2025-12-16T03:59:00+00:00,43.04,EUR,failed,2025-12-16
opqsg146v,c00007,2025-12-16T08:18:00+00:00,16.92,$,paid,2025-12-16
om007ssep,c00159,2025-12-16T07:39:00+00:00,64.72,USD,failed,2025-12-16
ozenheeh6,c00049,not-a-time,21.47,???,failed,2025-12-16
ocyuro8bg,c00009,2025-12-16T23:27:00+00:00,94.54,€,,2025-12-16
ohlm411ma,c00114,2025-12-16T13:04:00+00:00,80.33,USD,succeeded,2025-12-16
o3n8a41mi,c00072,2025-12-16T10:52:00+00:00,45.44,$,chargeback,2025-12-16
o29cey7ro,c00125,not-a-time,38.69,€,chargeback,2025-12-16
o5xxmy2at,c00183,2025-12-16T00:36:00+00:00,49.78,,paid,2025-12-16
ozclaude9,c00090,2025-12-16T02:12:00+00:00,-42.23,USD,failed,2025-12-16
o54zw6lwy,c00078,2025-12-16T11:31:00+00:00,8.95,USD,PAID,2025-12-16
ourpy3r5c,c00026,2025-12-16T10:48:00+00:00,31.06,usd,succeeded,2025-12-16
osst246bm,c00056,2025-12-16T21:15:00+00:00,26.3,usd,,2025-12-16
oob4tifmv,c00002,not-a-time,30.65,USD,,2025-12-16
ofysv0k4o,c00094,2025-12-16T06:17:00+00:00,45.12,,failed,2025-12-16
o311bcapd,c00022,2025-12-16T05:23:00+00:00,82.64,$,paid,2025-12-16
osqcckpqw,c00162,2025-12-16T23:14:00+00:00,70.15,EUR,,2025-12-16
